,type,nom_commune,code_departement,prix,numberOfGuests,rating
267,Room,Paris 9e Arrondissement,75,302,4,4.5
268,Room,Paris 1er Arrondissement,75,356,2,4.5
269,Room,Paris 3e Arrondissement,75,334,2,4.5
270,Room,Paris 10e Arrondissement,75,329,2,4.5
271,Room,Paris 6e Arrondissement,75,491,4,5.0
272,Room,Paris 9e Arrondissement,75,286,2,5.0
273,Room,Paris 16e Arrondissement,75,277,2,4.5
274,Room,Paris 1er Arrondissement,75,327,2,4.5
275,Entire Home,Paris 2e Arrondissement,75,307,4,4.0
276,Room,Paris 6e Arrondissement,75,467,2,4.5
277,Room,Paris 15e Arrondissement,75,330,2,4.5
278,Entire Home,Paris 9e Arrondissement,75,416,8,4.5
279,Room,Paris 7e Arrondissement,75,335,2,4.5
280,Room,Paris 5e Arrondissement,75,345,2,5.0
281,Room,Paris 1er Arrondissement,75,344,2,5.0
282,Room,Paris 8e Arrondissement,75,386,2,5.0
283,Room,Paris 8e Arrondissement,75,292,2,5.0
284,Room,Paris 14e Arrondissement,75,272,2,5.0
285,Room,Paris 8e Arrondissement,75,313,4,5.0
286,Entire Home,Paris 4e Arrondissement,75,467,2,4.5
287,Room,Paris 5e Arrondissement,75,336,2,5.0
288,Entire Home,Paris 16e Arrondissement,75,418,4,4.5
289,Room,Paris 2e Arrondissement,75,377,2,5.0
290,Room,Paris 7e Arrondissement,75,435,2,5.0
291,Entire Home,Paris 8e Arrondissement,75,369,4,4.5
292,Room,Paris 9e Arrondissement,75,262,2,5.0
293,Room,Paris 8e Arrondissement,75,341,2,5.0
294,Room,Paris 7e Arrondissement,75,302,2,4.5
295,Entire Home,Paris 2e Arrondissement,75,497,8,5.0
296,Entire Home,Paris 1er Arrondissement,75,484,6,4.5
297,Room,Paris 5e Arrondissement,75,327,2,5.0
298,Room,Paris 2e Arrondissement,75,377,2,5.0
299,Entire Home,Paris 2e Arrondissement,75,502,4,4.5
300,Entire Home,Paris 5e Arrondissement,75,397,4,5.0
301,Entire Home,Paris 2e Arrondissement,75,317,4,4.5
302,Entire Home,Paris 6e Arrondissement,75,382,4,4.5
303,Entire Home,Paris 15e Arrondissement,75,509,4,5.0
304,Room,Paris 10e Arrondissement,75,991,2,4.0
305,Room,Paris 10e Arrondissement,75,991,2,4.5
306,Room,Paris 16e Arrondissement,75,744,2,4.5
307,Room,Paris 10e Arrondissement,75,1190,2,4.5
308,Room,Paris 11e Arrondissement,75,99,4,5.0
309,Entire Home,Saint-Denis,93,46,1,5.0
310,Room,Paris 20e Arrondissement,75,74,1,4.5
311,Entire Home,Pantin,93,90,2,4.5
312,Room,Choisy-le-Roi,94,72,2,4.5
313,Room,Paris 19e Arrondissement,75,122,1,4.5
314,Room,Courbevoie,92,57,1,4.5
315,Entire Home,Neuilly-Plaisance,93,89,2,5.0
316,Entire Home,Puteaux,92,110,2,4.5
317,Room,Paris 19e Arrondissement,75,46,1,4.0
318,Room,Issy-les-Moulineaux,92,118,1,4.5
319,Room,Bois-Colombes,92,45,1,5.0
320,Entire Home,Créteil,94,119,2,5.0
321,Room,Paris 19e Arrondissement,75,122,1,4.5
322,Entire Home,Noisy-le-Grand,93,61,1,5.0
323,Room,Paris 19e Arrondissement,75,49,1,4.0
324,Room,Asnières-sur-Seine,92,45,1,5.0
325,Room,Athis-Mons,91,51,2,4.0
326,Entire Home,Jouy-en-Josas,78,91,2,5.0
327,Room,Colombes,92,40,1,5.0
328,Room,Colombes,92,64,1,4.5
329,Entire Home,Montgeron,91,77,4,5.0
330,Entire Home,Villebon-sur-Yvette,91,63,1,5.0
331,Room,Paris 8e Arrondissement,75,341,2,4.5
332,Room,Charenton-le-Pont,94,199,2,5.0
333,Room,Rueil-Malmaison,92,75,2,5.0
334,Entire Home,Saint-Denis,93,163,4,4.5
335,Room,Rungis,94,60,1,5.0
336,Room,Gagny,93,40,1,5.0
337,Room,Saint-Denis,93,124,2,4.0
338,Room,Massy,91,109,2,4.0
339,Room,Courbevoie,92,130,4,4.5
340,Entire Home,Orly,94,134,4,4.5
341,Room,Verrières-le-Buisson,91,68,1,5.0
342,Room,Nanterre,92,54,1,4.5
343,Room,Tremblay-en-France,93,90,2,3.5
344,Room,Bobigny,93,23,1,4.0
345,Entire Home,Longjumeau,91,107,2,4.5
346,Entire Home,Arcueil,94,154,4,4.5
347,Entire Home,Vitry-sur-Seine,94,99,2,4.5
348,Room,Colombes,92,94,2,5.0
349,Entire Home,Yerres,91,68,2,4.5
350,Entire Home,Boulogne-Billancourt,92,204,4,4.5
351,Entire Home,Massy,91,104,2,4.5
352,Room,Maisons-Laffitte,78,85,2,4.5
353,Room,Sarcelles,95,33,2,4.0
354,Room,Bobigny,93,22,1,4.0
355,Entire Home,Bezons,95,149,2,5.0
356,Room,Issy-les-Moulineaux,92,133,2,4.5
357,Room,Villejuif,94,41,1,4.5
358,Entire Home,Gennevilliers,92,90,3,4.5
359,Room,Créteil,94,77,2,4.0
360,Entire Home,Paray-Vieille-Poste,91,62,2,5.0
361,Entire Home,Levallois-Perret,92,132,3,4.5
362,Entire Home,Courbevoie,92,191,6,4.5
363,Entire Home,Sèvres,92,90,2,4.5
364,Entire Home,Orly,94,178,2,4.5
365,Entire Home,Palaiseau,91,29,1,4.5
366,Entire Home,Argenteuil,95,90,2,5.0
367,Room,Massy,91,120,3,4.0
368,Room,Stains,93,75,2,4.5
369,Entire Home,Jouy-en-Josas,78,83,3,4.5
370,Entire Home,Vitry-sur-Seine,94,119,2,4.0
371,Room,Créteil,94,103,2,5.0
372,Entire Home,Vitry-sur-Seine,94,215,4,4.0
373,Room,Châtenay-Malabry,92,63,2,5.0
374,Room,Nanterre,92,149,2,5.0
375,Room,Choisy-le-Roi,94,79,2,4.5
376,Room,Villejuif,94,38,1,4.5
377,Room,Maisons-Alfort,94,121,2,5.0
378,Entire Home,Bezons,95,57,1,4.5
379,Room,Villejuif,94,38,2,4.0
380,Entire Home,Villeneuve-le-Roi,94,121,2,4.5
381,Entire Home,Saclay,91,58,1,5.0
382,Entire Home,Le Kremlin-Bicêtre,94,130,3,5.0
383,Entire Home,Houilles,78,93,3,5.0
384,Room,Courbevoie,92,127,2,4.5
385,Room,Nanterre,92,98,2,5.0
386,Room,Chaville,92,81,1,4.5
387,Entire Home,Villecresnes,94,47,4,5.0
388,Entire Home,Argenteuil,95,135,2,5.0
389,Room,Villejuif,94,40,1,5.0
390,Entire Home,Chilly-Mazarin,91,80,2,4.5
391,Room,Villejuif,94,38,1,4.5
392,Entire Home,Villepinte,93,79,2,5.0
393,Entire Home,La Courneuve,93,54,1,5.0
394,Room,Villejuif,94,36,1,4.5
395,Entire Home,Aulnay-sous-Bois,93,85,2,4.5
396,Entire Home,Pantin,93,107,2,4.5
397,Room,Fontenay-aux-Roses,92,68,2,5.0
398,Room,Issy-les-Moulineaux,92,128,2,4.5
399,Room,Gennevilliers,92,73,2,5.0
400,Room,Paris 19e Arrondissement,75,49,1,4.0
401,Room,Le Pré-Saint-Gervais,93,135,2,4.0
402,Entire Home,Enghien-les-Bains,95,58,2,4.5
403,Room,Rueil-Malmaison,92,73,2,5.0
404,Room,Maisons-Alfort,94,125,2,5.0
405,Room,Montreuil,93,74,2,5.0
406,Entire Home,Vincennes,94,341,9,5.0
407,Room,Paris 16e Arrondissement,75,133,2,4.5
408,Room,Gentilly,94,71,1,4.5
409,Entire Home,Argenteuil,95,51,1,4.5
410,Room,Courbevoie,92,98,2,5.0
411,Room,Aubervilliers,93,80,4,4.5
412,Room,Paris 19e Arrondissement,75,46,1,4.0
413,Room,Paris 15e Arrondissement,75,98,2,5.0
414,Room,Asnières-sur-Seine,92,118,2,4.0
415,Room,Villejuif,94,50,1,5.0
416,Room,Courbevoie,92,102,1,5.0
417,Room,Paris 19e Arrondissement,75,46,1,4.0
418,Room,Vélizy-Villacoublay,78,83,2,4.5
419,Room,Créteil,94,42,3,5.0
420,Entire Home,Vitry-sur-Seine,94,51,1,4.5
421,Entire Home,Aulnay-sous-Bois,93,66,2,5.0
422,Room,Gentilly,94,61,1,4.5
423,Room,Neuilly-Plaisance,93,108,2,4.5
424,Entire Home,Arcueil,94,94,3,5.0
425,Room,Maisons-Alfort,94,49,1,5.0
426,Room,Saint-Ouen-sur-Seine,93,109,2,5.0
427,Room,Bois-Colombes,92,119,2,4.5
428,Room,Paris 19e Arrondissement,75,121,1,4.5
429,Room,Antony,92,98,2,4.5
430,Room,Tremblay-en-France,93,62,1,5.0
431,Room,Paris 19e Arrondissement,75,51,1,5.0
432,Entire Home,Aulnay-sous-Bois,93,51,1,5.0
433,Room,Clichy,92,76,1,4.5
434,Entire Home,Paris 17e Arrondissement,75,147,3,4.5
435,Room,Paris 13e Arrondissement,75,140,2,5.0
436,Room,Paris 12e Arrondissement,75,80,1,5.0
437,Room,Montrouge,92,73,2,5.0
