,type_location,code_departement,code_commune,prix_location,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,taxe_loyer,cuisine_equipee,machine_laver,m_lave_vaisselle,bien_neuf,place_parking,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,meublé,colocation,approximite_metro,terrasse
33,0,93,93066,840,2,1,41,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,92,92073,1450,2,1,43,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
35,0,94,94002,880,1,0,36,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
36,0,91,91514,750,2,1,39,0,750,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,0,92,92004,1040,2,1,40,0,1040,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,93,93032,1120,2,1,43,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,77,77038,450,1,1,10,0,450,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
40,0,92,92026,2490,4,3,105,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,93,93066,680,1,1,0,0,-1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0
42,0,94,94015,740,1,0,21,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,92,92026,1180,2,1,40,0,-1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
44,0,78,78481,745,1,0,30,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,0,92,92026,1720,3,2,68,0,-1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0
46,0,75,75056,2890,3,2,87,0,2890,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
47,0,94,94041,1280,3,2,52,0,-1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
48,0,75,75056,2100,3,2,60,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,75,75056,1650,3,2,45,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,0,75,75056,750,1,0,14,0,700,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
51,0,94,94046,950,2,1,43,0,950,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
52,0,75,75056,1000,2,1,31,0,1780,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
53,0,75,75056,780,1,0,22,0,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
54,0,92,92075,1340,2,1,40,0,780,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0
55,0,95,95074,575,4,1,20,0,1195,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
56,0,93,93008,600,1,1,14,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,0,77,77079,510,2,1,24,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,0,92,92012,792,1,0,26,0,-1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
59,0,94,94058,840,2,1,35,0,792,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
60,0,75,75056,1040,1,0,31,0,820,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
61,0,75,75056,800,1,1,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
62,0,93,93006,875,1,0,32,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
63,0,92,92012,1180,1,0,30,0,720,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
64,0,95,95074,550,1,1,12,0,14403,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0
65,0,92,92073,1365,3,2,55,0,875,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
66,0,93,93064,890,2,1,27,0,-1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
67,0,92,92050,1950,4,3,81,0,500,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
68,0,75,75056,1600,2,1,59,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,0,78,78551,740,1,0,22,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,75,75056,1340,1,0,29,0,-1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
71,0,93,93066,790,2,1,25,0,1450,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0,92,92012,1090,2,1,31,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
73,0,94,94081,530,1,1,22,0,1250,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0
74,0,92,92004,790,1,0,21,0,790,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,0,75,75056,1290,2,1,35,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,1,95,95134,950,2,1,50,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,1,92,92025,1200,2,1,50,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
78,0,91,91235,1000,2,1,59,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
79,0,92,92050,1400,2,1,55,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
80,0,91,91174,1090,3,2,66,0,-1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
81,0,78,78646,800,2,1,22,0,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
82,1,91,91044,1620,6,4,125,0,1400,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
83,0,94,94081,530,1,1,22,0,1000,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0
84,0,94,94068,1180,2,1,36,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
85,0,92,92044,2090,3,2,59,0,780,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
86,0,77,77186,1500,3,1,45,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,75,75056,2900,3,2,88,0,-1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
88,0,94,94033,870,2,1,28,0,1100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
