,nom_commune,dummy,cat_commune
556,91Lardy,1,1
557,91Le Coudray-Montceaux,1,1
558,91Le Mérévillois,1,1
559,91Le Plessis-Pâté,1,1
560,91Le Val-Saint-Germain,1,1
561,91Les Granges-le-Roi,1,1
562,91Les Molières,1,1
563,91Les Ulis,1,1
564,91Leudeville,1,1
565,91Leuville-sur-Orge,1,1
566,91Limours,1,1
567,91Linas,1,1
568,91Lisses,1,1
569,91Longjumeau,1,1
570,91Longpont-sur-Orge,1,1
571,91Maisse,1,1
572,91Marcoussis,1,1
573,91Marolles-en-Hurepoix,1,1
574,91Massy,1,1
575,91Mauchamps,1,1
576,91Mennecy,1,1
577,91Milly-la-Forêt,1,1
578,91Moigny-sur-École,1,1
579,91Monnerville,1,1
580,91Montgeron,1,1
581,91Montlhéry,1,1
582,91Morangis,1,1
583,91Morigny-Champigny,1,1
584,91Morsang-sur-Orge,1,1
585,91Mérobert,1,1
586,91Nozay,1,1
587,91Ollainville,1,1
588,91Oncy-sur-École,1,1
589,91Ormoy,1,0
590,91Ormoy-la-Rivière,1,1
591,91Orsay,1,1
592,91Palaiseau,1,1
593,91Paray-Vieille-Poste,1,1
594,91Pecqueuse,1,1
595,91Prunay-sur-Essonne,1,1
596,91Pussay,1,1
597,91Quincy-sous-Sénart,1,1
598,91Ris-Orangis,1,1
599,91Roinville,1,1
600,91Saclas,1,0
601,91Saclay,1,1
602,91Saint-Aubin,1,1
603,91Saint-Chéron,1,1
604,91Saint-Cyr-la-Rivière,1,1
605,91Saint-Cyr-sous-Dourdan,1,1
606,91Saint-Germain-lès-Arpajon,1,1
607,91Saint-Germain-lès-Corbeil,1,1
608,91Saint-Jean-de-Beauregard,1,0
609,91Saint-Maurice-Montcouronne,1,0
610,91Saint-Michel-sur-Orge,1,1
611,91Saint-Pierre-du-Perray,1,1
612,91Saint-Vrain,1,1
613,91Saint-Yon,1,1
614,91Sainte-Geneviève-des-Bois,1,1
615,91Saintry-sur-Seine,1,1
616,91Saulx-les-Chartreux,1,1
617,91Savigny-sur-Orge,1,1
618,91Sermaise,1,1
619,91Soisy-sur-Seine,1,1
620,91Soisy-sur-École,1,1
621,91Tigery,1,1
622,91Varennes-Jarcy,1,1
623,91Vaugrigneuse,1,1
624,91Vauhallan,1,1
625,91Vayres-sur-Essonne,1,1
626,91Verrières-le-Buisson,1,1
627,91Vert-le-Grand,1,1
628,91Vert-le-Petit,1,1
629,91Vigneux-sur-Seine,1,1
630,91Villabé,1,1
631,91Villebon-sur-Yvette,1,1
632,91Villejust,1,0
633,91Villemoisson-sur-Orge,1,1
634,91Villiers-le-Bâcle,1,1
635,91Villiers-sur-Orge,1,1
636,91Viry-Châtillon,1,1
637,91Wissous,1,1
638,91Yerres,1,1
639,91Écharcon,1,1
640,91Égly,1,1
641,91Épinay-sous-Sénart,1,1
642,91Épinay-sur-Orge,1,1
643,91Étampes,1,1
644,91Étiolles,1,1
645,91Étréchy,1,1
646,91Évry-Courcouronnes,1,1
647,92Antony,1,1
648,92Asnières-sur-Seine,1,0
649,92Bagneux,1,1
650,92Bois-Colombes,1,0
651,92Boulogne-Billancourt,1,0
652,92Bourg-la-Reine,1,1
653,92Chaville,1,1
654,92Châtenay-Malabry,1,1
655,92Châtillon,1,1
656,92Clamart,1,1
657,92Clichy,1,0
658,92Colombes,1,1
659,92Courbevoie,1,0
660,92Fontenay-aux-Roses,1,1
661,92Garches,1,1
662,92Gennevilliers,1,1
663,92Issy-les-Moulineaux,1,0
664,92La Garenne-Colombes,1,0
665,92Le Plessis-Robinson,1,1
666,92Levallois-Perret,1,0
667,92Malakoff,1,0
668,92Marnes-la-Coquette,1,1
669,92Meudon,1,1
670,92Montrouge,1,0
671,92Nanterre,1,1
672,92Neuilly-sur-Seine,1,0
673,92Puteaux,1,0
674,92Rueil-Malmaison,1,1
675,92Saint-Cloud,1,0
676,92Sceaux,1,0
677,92Suresnes,1,0
678,92Sèvres,1,1
679,92Vanves,1,0
680,92Vaucresson,1,1
681,92Ville-d'Avray,1,1
682,92Villeneuve-la-Garenne,1,1
683,93Aubervilliers,1,1
684,93Aulnay-sous-Bois,1,1
685,93Bagnolet,1,1
686,93Bobigny,1,1
687,93Bondy,1,1
688,93Clichy-sous-Bois,1,1
689,93Coubron,1,1
690,93Drancy,1,1
691,93Dugny,1,1
692,93Gagny,1,1
693,93Gournay-sur-Marne,1,1
694,93L'Île-Saint-Denis,1,1
695,93La Courneuve,1,1
